expocode,cruise,station,region,cast,year,month,day,hour,minute,latitude,longitude,bottomdepth,maxsampdepth,bottle,pressure,depth,temperature,theta,salinity,salinityf,salinityqc,sigma0,sigma1,sigma2,sigma3,sigma4,gamma,oxygen,oxygenf,oxygenqc,aou,aouf,nitrate,nitratef,nitrateqc,nitrite,nitritef,silicate,silicatef,silicateqc,phosphate,phosphatef,phosphateqc,tco2,tco2f,tco2qc,talk,talkf,talkqc,fco2,fco2f,fco2temp,phts25p0,phts25p0f,phtsinsitutp,phtsinsitutpf,phtsqc,cfc11,pcfc11,cfc11f,cfc11qc,cfc12,pcfc12,cfc12f,cfc12qc,cfc113,pcfc113,cfc113f,cfc113qc,ccl4,pccl4,ccl4f,ccl4qc,sf6,psf6,sf6f,sf6qc,c13,c13f,c13qc,c14,c14f,c14err,h3,h3f,h3err,he3,he3f,he3err,he,hef,heerr,neon,neonf,neonerr,o18,o18f,toc,tocf,doc,docf,don,donf,tdn,tdnf,chla,chlaf,doi,second,datetime,salinity_absolute,pH_total,pco2,pH_total_bias,pco2_bias,pH_total_random,pco2_random,temperature_bias,theta_bias,salinity_bias,oxygen_bias,aou_bias,nitrate_bias,phosphate_bias,silicate_bias,tco2_bias,talk_bias
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,1.0,12.0,12.0,14.107,14.105,34.374,2,1,25.682,30.059,34.339,38.524,42.618,25.7101624025314,265.32,2,1,-12.105947786519692,2,3.7,2,1,,9,1.4,2,1,0.49,2,1,2008.0,2,1,2284.0,2,1,353.08,0,20.0,8.0135,0,8.1795,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,1.9,2,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.536215590455924,8.183876753642584,276.033239379156,0.0108808376856544,8.174856846045522,0.0424009809895908,31.18116722318948,0.002,0.002,0.005,2.6532,-0.12105947786519693,0.07400000000000001,0.0098,0.027999999999999997,10.0,10.0
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,2.0,38.0,38.0,12.397,12.392,34.468,2,1,26.101,30.51,34.822,39.038,43.162,26.1446418323109,272.25,2,1,-10.191650321114082,2,5.5,2,1,,9,1.5,2,1,0.58,2,1,2026.0,2,1,2292.0,2,1,375.09,0,20.0,7.9929,0,8.1844,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.630657467498445,8.19033909624979,273.0327975464319,0.0108283546429189,8.054986517283407,0.0434246856636572,31.398563881593763,0.002,0.002,0.005,2.7225,-0.10191650321114082,0.11,0.0116,0.03,10.0,10.0
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,3.0,70.0,70.0,9.413,9.4053,34.418,2,1,26.597,31.069,35.442,39.717,43.897,26.6737828290819,275.22,2,1,4.169899424144205,2,11.2,2,1,,9,1.9,2,1,0.93,2,1,2060.0,2,1,2285.0,2,1,463.04,0,20.0,7.9158,0,8.151,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,1.22,2,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.580438588762426,8.161077609086526,297.852679924826,0.0105716433373827,8.60343270164444,0.0483125513379781,37.317198297844286,0.002,0.002,0.005,2.7522,0.04169899424144205,0.22399999999999998,0.018600000000000002,0.038,10.0,10.0
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,4.0,111.0,110.0,7.044,7.0338,34.301,2,1,26.864,31.391,35.816,40.143,44.374,26.9747502066383,272.25,2,1,22.64584417762154,2,17.3,2,1,,9,4.8,2,1,1.23,2,1,2096.0,2,1,2282.0,2,1,575.79,0,20.0,7.8352,0,8.1033,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.46294052841199,8.11789833546639,336.1518573294829,0.0102418340343334,9.424532712358737,0.0541029829421866,46.24550997071199,0.002,0.002,0.005,2.7225,0.2264584417762154,0.34600000000000003,0.0246,0.096,10.0,10.0
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,5.0,160.0,159.0,6.742,6.7275,34.361,2,1,26.953,31.487,35.919,40.252,44.489,27.0755648458092,261.36,2,1,35.48962712031289,2,20.5,2,1,,9,6.8,2,1,1.48,2,1,2102.0,2,1,2278.0,2,1,611.24,0,20.0,7.812,0,8.082,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,0.8,2,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.52328648871808,8.097857209052306,352.03985884265285,0.0101337587964362,9.769665460636054,0.0557939232922808,49.70314304957166,0.002,0.002,0.005,2.6136000000000004,0.3548962712031289,0.41000000000000003,0.0296,0.136,10.0,10.0
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,6.0,209.0,208.0,5.856,5.8385,34.25,2,1,26.98,31.537,35.991,40.345,44.602,27.1138391039615,267.3,2,1,35.99853857603648,2,22.3,2,1,,9,8.1,2,1,1.62,2,1,2109.0,2,1,2275.0,2,1,647.09,0,20.0,7.7904,0,8.0714,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.41183122790175,8.089336994413665,359.12115090847374,0.0100214932709762,9.860212659706171,0.0576695711299532,52.14710130524682,0.002,0.002,0.005,2.673,0.3599853857603648,0.446,0.032400000000000005,0.162,10.0,10.0
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,7.0,287.0,285.0,5.064,5.0416,34.224,2,1,27.055,31.632,36.105,40.479,44.754,27.2052198675845,267.3,2,1,41.825574673502615,2,24.3,2,1,,9,10.1,2,1,1.72,2,1,2122.0,2,1,2277.0,2,1,694.26,0,20.0,7.7643,0,8.0534,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.38579044831017,8.07326537060002,372.7782366673915,0.0098810095722428,10.094141378364238,0.0597566231046984,55.77750853042899,0.002,0.002,0.005,2.673,0.41825574673502613,0.48600000000000004,0.0344,0.20199999999999999,10.0,10.0
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,9.0,448.0,445.0,4.438,4.4047,34.206,2,1,27.112,31.705,36.195,40.584,44.873,27.2734550767612,265.32,2,1,48.60249124470107,2,26.2,2,1,,9,15.1,2,1,1.85,2,1,2134.0,2,1,2281.0,2,1,733.36,0,20.0,7.7442,0,8.0358,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.3679826994156,8.057577659269963,382.74030575151295,0.0097646189112595,10.244789577895748,0.0613548787993656,58.55416340776519,0.002,0.002,0.005,2.6532,0.48602491244701074,0.524,0.037000000000000005,0.302,10.0,10.0
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,10.0,519.0,515.0,4.048,4.0107,34.191,2,1,27.142,31.745,36.245,40.643,44.943,27.3097131260986,265.32,2,1,51.64635092711029,2,26.9,2,1,,9,16.0,2,1,1.89,2,1,2144.0,2,1,2281.0,2,1,782.56,0,20.0,7.7195,0,8.0129,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,0.48,2,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.35306121333954,8.035782143400462,402.1712398345346,0.0096166124034458,10.598192313281734,0.0634051742279793,63.27681740077347,0.002,0.002,0.005,2.6532,0.516463509271103,0.538,0.0378,0.32,10.0,10.0
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,11.0,586.0,581.0,3.837,3.7956,34.201,2,1,27.171,31.78,36.285,40.689,44.994,27.3437855497548,262.35,2,1,56.25697349499524,2,27.5,2,1,,9,19.7,2,1,1.94,2,1,2143.0,2,1,2281.0,2,1,778.21,0,20.0,7.7216,0,8.0158,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00,34.36327829164748,8.039433851395918,395.6391012198113,0.0096259305016303,10.44077686722208,0.0632480439169463,62.11601024660084,0.002,0.002,0.005,2.6235000000000004,0.5625697349499524,0.55,0.0388,0.394,10.0,10.0
