expocode,cruise,station,region,cast,year,month,day,hour,minute,latitude,longitude,bottomdepth,maxsampdepth,bottle,pressure,depth,temperature,theta,salinity,salinityf,salinityqc,sigma0,sigma1,sigma2,sigma3,sigma4,gamma,oxygen,oxygenf,oxygenqc,aou,aouf,nitrate,nitratef,nitrateqc,nitrite,nitritef,silicate,silicatef,silicateqc,phosphate,phosphatef,phosphateqc,tco2,tco2f,tco2qc,talk,talkf,talkqc,fco2,fco2f,fco2temp,phts25p0,phts25p0f,phtsinsitutp,phtsinsitutpf,phtsqc,cfc11,pcfc11,cfc11f,cfc11qc,cfc12,pcfc12,cfc12f,cfc12qc,cfc113,pcfc113,cfc113f,cfc113qc,ccl4,pccl4,ccl4f,ccl4qc,sf6,psf6,sf6f,sf6qc,c13,c13f,c13qc,c14,c14f,c14err,h3,h3f,h3err,he3,he3f,he3err,he,hef,heerr,neon,neonf,neonerr,o18,o18f,toc,tocf,doc,docf,don,donf,tdn,tdnf,chla,chlaf,doi,second,datetime,salinity_absolute,pH_total,pco2,pH_total_bias,pco2_bias,pH_total_random,pco2_random,temperature_bias,theta_bias,salinity_bias,oxygen_bias,aou_bias,nitrate_bias,tco2_bias,talk_bias,gamma_teos
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,1,12,12,14.107,14.105,34.374,2,1,25.682,30.059,34.339,38.524,42.618,25.7101624025314,265.32,2,1,-12.1059477865197,2,3.7,2,1,NaN,9,1.4,2,1,0.49,2,1,2008,2,1,2284,2,1,353.08,0,20,8.0135,0,8.1795,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,1.9,2,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.5362155904559,8.18387675364258,276.033239379156,0.0108808376856544,8.17485684604552,0.0424009809895908,31.1811672231895,0.002,0.002,0.005,2.6532,-0.121059477865197,0.074,10,10,25.7101624025314
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,2,38,38,12.397,12.392,34.468,2,1,26.101,30.51,34.822,39.038,43.162,26.1446418323109,272.25,2,1,-10.1916503211141,2,5.5,2,1,NaN,9,1.5,2,1,0.58,2,1,2026,2,1,2292,2,1,375.09,0,20,7.9929,0,8.1844,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,NaN,9,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.6306574674984,8.19033909624979,273.032797546432,0.0108283546429189,8.05498651728341,0.0434246856636572,31.3985638815938,0.002,0.002,0.005,2.7225,-0.101916503211141,0.11,10,10,26.1446418323109
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,3,70,70,9.413,9.4053,34.418,2,1,26.597,31.069,35.442,39.717,43.897,26.6737828290819,275.22,2,1,4.16989942414421,2,11.2,2,1,NaN,9,1.9,2,1,0.93,2,1,2060,2,1,2285,2,1,463.04,0,20,7.9158,0,8.151,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,1.22,2,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.5804385887624,8.16107760908653,297.852679924826,0.0105716433373827,8.60343270164444,0.0483125513379781,37.3171982978443,0.002,0.002,0.005,2.7522,0.0416989942414421,0.224,10,10,26.6737828290819
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,4,111,110,7.044,7.0338,34.301,2,1,26.864,31.391,35.816,40.143,44.374,26.9747502066383,272.25,2,1,22.6458441776215,2,17.3,2,1,NaN,9,4.8,2,1,1.23,2,1,2096,2,1,2282,2,1,575.79,0,20,7.8352,0,8.1033,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,NaN,9,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.462940528412,8.11789833546639,336.151857329483,0.0102418340343334,9.42453271235874,0.0541029829421866,46.245509970712,0.002,0.002,0.005,2.7225,0.226458441776215,0.346,10,10,26.9747502066383
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,5,160,159,6.742,6.7275,34.361,2,1,26.953,31.487,35.919,40.252,44.489,27.0755648458092,261.36,2,1,35.4896271203129,2,20.5,2,1,NaN,9,6.8,2,1,1.48,2,1,2102,2,1,2278,2,1,611.24,0,20,7.812,0,8.082,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,0.8,2,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.5232864887181,8.09785720905231,352.039858842653,0.0101337587964362,9.76966546063605,0.0557939232922808,49.7031430495717,0.002,0.002,0.005,2.6136,0.354896271203129,0.41,10,10,27.0755648458092
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,6,209,208,5.856,5.8385,34.25,2,1,26.98,31.537,35.991,40.345,44.602,27.1138391039615,267.3,2,1,35.9985385760365,2,22.3,2,1,NaN,9,8.1,2,1,1.62,2,1,2109,2,1,2275,2,1,647.09,0,20,7.7904,0,8.0714,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,NaN,9,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.4118312279018,8.08933699441367,359.121150908474,0.0100214932709762,9.86021265970617,0.0576695711299532,52.1471013052468,0.002,0.002,0.005,2.673,0.359985385760365,0.446,10,10,27.1138391039615
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,7,287,285,5.064,5.0416,34.224,2,1,27.055,31.632,36.105,40.479,44.754,27.2052198675845,267.3,2,1,41.8255746735026,2,24.3,2,1,NaN,9,10.1,2,1,1.72,2,1,2122,2,1,2277,2,1,694.26,0,20,7.7643,0,8.0534,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,NaN,9,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.3857904483102,8.07326537060002,372.778236667392,0.0098810095722428,10.0941413783642,0.0597566231046984,55.777508530429,0.002,0.002,0.005,2.673,0.418255746735026,0.486,10,10,27.2052198675845
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,9,448,445,4.438,4.4047,34.206,2,1,27.112,31.705,36.195,40.584,44.873,27.2734550767612,265.32,2,1,48.6024912447011,2,26.2,2,1,NaN,9,15.1,2,1,1.85,2,1,2134,2,1,2281,2,1,733.36,0,20,7.7442,0,8.0358,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,NaN,9,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.3679826994156,8.05757765926996,382.740305751513,0.0097646189112595,10.2447895778957,0.0613548787993656,58.5541634077652,0.002,0.002,0.005,2.6532,0.486024912447011,0.524,10,10,27.2734550767612
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,10,519,515,4.048,4.0107,34.191,2,1,27.142,31.745,36.245,40.643,44.943,27.3097131260986,265.32,2,1,51.6463509271103,2,26.9,2,1,NaN,9,16,2,1,1.89,2,1,2144,2,1,2281,2,1,782.56,0,20,7.7195,0,8.0129,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,0.48,2,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.3530612133395,8.03578214340046,402.171239834535,0.0096166124034458,10.5981923132817,0.0634051742279793,63.2768174007735,0.002,0.002,0.005,2.6532,0.516463509271103,0.538,10,10,27.3097131260986
316N19720718,236,64,1,9,1972,12,5,0,0,-39.058,-48.55,5457,5447,11,586,581,3.837,3.7956,34.201,2,1,27.171,31.78,36.285,40.689,44.994,27.3437855497548,262.35,2,1,56.2569734949952,2,27.5,2,1,NaN,9,19.7,2,1,1.94,2,1,2143,2,1,2281,2,1,778.21,0,20,7.7216,0,8.0158,0,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,NaN,9,0,NaN,9,0,NaN,9,NaN,NaN,9,NaN,NaN,9,NaN,,9,,,9,,NaN,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl,0,1972-12-05 00:00:00,34.3632782916475,8.03943385139592,395.639101219811,0.0096259305016303,10.4407768672221,0.0632480439169463,62.1160102466008,0.002,0.002,0.005,2.6235,0.562569734949952,0.55,10,10,27.3437855497548
